ID,Section,Due,Task,Status,Owner,Waiting on,Why it matters,Draft / reference,Notes (Randall),,PROGRESS,
11,3. Rest of August,2026-08-18,Write his page title and meta description,Not Started,Randall,,Check it does not duplicate an existing title - 5 duplicates are still open sitewide.,06-bio-page.md,,,,
12,3. Rest of August,2026-08-25,Spec his page schema by hand - do not let it inherit the template,Not Started,Randall,Paul,"446 markup errors are open sitewide, including Physician schema on all 42 bios. His page should not join them.",07-physician-schema.json,,,,
13,3. Rest of August,2026-08-21,Check in staging that the CMS does not auto-link him to kyphoplasty or ketamine,Not Started,Randall,Paul,"/treatment/kyphoplasty-vertebroplasty/ is live with 8,377 impressions and is outside his stated guardrails. Run again after publishing.",09-taxonomy-firewall-check.md,,,,
14,3. Rest of August,2026-08-28,"Reframe /treatment/pain-management/ as a router, not a department",Not Started,Randall,Joe,"Keep the URL and its ~9,900 impressions. 'Pain management doctor near me' is a real 2,400/month query. Drop the physician roster - doctors attach to treatments now.",14-pain-management-page.md,,,,
15,3. Rest of August,2026-08-25,Write the referral one-sheet for Kristen's team,Not Started,Randall,Dr. Heyl,Say plainly what NOT to send him. Naming the exclusions is what makes referrers trust the inclusions.,19-referral-one-sheet.md,,,,
16,3. Rest of August,2026-09-01,Write the internal routing sheet,Not Started,Randall,Clinical leadership,"Otherwise he just takes the existing pain team's patients. That is redistribution, not growth.",18-internal-routing-sheet.md,,,,
17,3. Rest of August,2026-08-25,Give Kelly the phone rules,Not Started,Randall,Kelly,"Evaluate first; never promise an injection, MRI or medication before he has seen them. Kelly owns the final script.",20-call-center-rules.md,,,,
18,3. Rest of August,2026-08-28,"Take the BEFORE snapshot - traffic, rankings, and what the AI tools say today",Not Started,Randall,,"Cannot be reconstructed after Sept 1. An hour of work. Without it, no question about whether this worked is answerable.",25-baseline-snapshot.md,,,,
19,4. Launch week,2026-09-01,Bio live,Not Started,Randall,Dr. Heyl approval,,06-bio-page.md,,,,
20,4. Launch week,2026-09-01,Name him as performing provider on the 12 existing /treatment/ pages,Not Started,Randall,Paul + Operations,"THIS IS THE LAUNCH. Those 12 pages already carry 44,264 searches shown per quarter. Data task, not a writing task.",27-heyl-treatment-map.csv,,,,
21,4. Launch week,2026-09-01,Name him on the condition pages he treats,Not Started,Randall,Clinical,Condition pages already link to treatments - this is what makes him findable by what hurts.,27-heyl-treatment-map.csv,,,,
22,4. Launch week,2026-09-01,Google Business listings live for Livonia and Sterling Heights,Not Started,Randall,,"Do it in the GBP screen - API access is still pending. Our listings drive ~1,681 local-pack keywords today.",10-directory-profile-pack.md,,,,
23,4. Launch week,2026-09-01,"Six directory profiles live: Healthgrades, Vitals, WebMD, Doximity, Zocdoc, NPI",Not Started,Randall,Credentialing (NPI),"Identical name, address, phone and credentials on every one.",10-directory-profile-pack.md,,,,
24,4. Launch week,2026-09-01,Confirm zero Mendelson references anywhere in his profiles,Not Started,Randall,,Dr. Zamorano's page still links to a legacy Mendelson Zocdoc profile. Do not repeat it on a new physician.,10-directory-profile-pack.md,,,,
25,4. Launch week,2026-09-01,Add him to the Livonia and Sterling Heights location pages with real clinic days,Not Started,Randall,Operations,,27-heyl-treatment-map.csv,,,,
26,4. Launch week,2026-09-01,"Test the booking path yourself, start to finish",Not Started,Randall,Paul,Website bookings convert at 74.7% and cost nothing. Do not drive traffic into a broken path.,README.md,,,,
27,4. Launch week,2026-09-01,Confirm his calls and bookings appear in Liine / GA4,Not Started,Randall,Santosh,Without this the launch is unmeasurable.,25-baseline-snapshot.md,,,,
28,4. Launch week,2026-09-01,Enrol him in Rater8 reviews,Not Started,Randall,,Starts at zero and compounds from day one. Cannot be backfilled.,README.md,,,,
29,4. Launch week,2026-09-01,Announcement email to referring offices + press release to local media,Not Started,Kristen / Randall,Dr. Heyl approval,Added capacity is the most useful thing a referring office can hear.,21-press-release.md / 22-referral-announcement-email.md,,,,
30,4. Launch week,2026-09-01,Give Kristen the target list - his U-M and Ann Arbor contacts first,Not Started,Randall,Dr. Heyl (names),Jasmine can help map Ann Arbor. A warm introduction from him beats a cold visit by a wide margin.,19-referral-one-sheet.md,,,,
31,5. September-October,2026-09-15,BUILD the genicular nerve block page,Not Started,Randall,Clinical review,"5,400 searches a month, very little competition, and no page exists anywhere on the site.",17-procedure-pages.md,,,,
32,5. September-October,2026-09-15,BUILD the peripheral nerve stimulation page,Not Started,Randall,Clinical review,His #1 priority and the thing he came here to build. Include the temporary 60-day system if Ops confirms it.,17-procedure-pages.md,,,,
33,5. September-October,2026-09-22,Build the 'leg pain when walking' symptom page feeding the existing spinal stenosis page,Not Started,Randall,Clinical review,"14,800 searches a month at very low difficulty. Best single opportunity in the launch. NOT a third stenosis page.",11-neurogenic-claudication-page.md,,,,
34,5. September-October,2026-09-22,Merge the duplicate stenosis pages (lumbar-stenosis into spinal-stenosis),Not Started,Randall,Paul,"Two pages for one condition, splitting each other's traffic.",27-heyl-treatment-map.csv,,,,
35,5. September-October,2026-09-29,"Improve 3 live-but-weak pages: radiofrequency ablation, occipital nerve block, EMG",Not Started,Randall,Clinical review,"RFA ranks 27.6 against demand sitting at 51-96. Occipital ranks 19.4 on a 6,600/month term.",12-emg-page.md / 17-procedure-pages.md,,,,
36,5. September-October,2026-09-08,Article: when to see a spine surgeon vs a pain doctor,Not Started,Randall,Dr. Heyl + a spine surgeon,His idea and the highest-value single piece. Doubles as referral collateral and routes patients to the right door.,13-article-surgeon-vs-pain-doctor.md,,,,
37,5. September-October,2026-09-15,Article: what an EMG actually tells your doctor,Not Started,Randall,Dr. Heyl,Including whether it hurts and how long it takes. Lots of people ask; nobody local answers well.,12-emg-page.md,,,,
38,5. September-October,2026-10-15,"Build 3 missing condition pages: CRPS, occipital neuralgia, post-surgical pain",Not Started,Randall,Clinical review,Conditions he treats that have no page today.,27-heyl-treatment-map.csv,,,,
39,5. September-October,2026-09-08,Add FAQ sections with proper markup to his pages,Not Started,Randall,Paul,We have zero FAQ markup on the entire site. Untouched surface with a tracker already watching it.,16-faq-library.md,,,,
40,5. September-October,2026-09-22,Add him and his pages to /llms.txt,Not Started,Randall,Paul,AI crawler access was confirmed open on 2026-07-27. The door is newly open.,26-semantic-model-mapping.md,,,,
41,5. September-October,2026-10-01,Pitch neurology practices on migraine and occipital nerve blocks,Not Started,Randall,Kristen,"6,600 searches a month and a referral pathway most pain practices do not court.",19-referral-one-sheet.md,,,,
42,5. September-October,2026-09-08,"Send Blue Ox the ad brief - sized to real capacity, with the do-not-advertise list",Not Started,Randall,Joe + Operations,An ad for kyphoplasty or opioid management under his name is a compliance incident.,23-paid-brief-blue-ox.md,,,,
43,5. September-October,2026-10-01,"After his board exam: update bio, 6 directories, schema and all collateral",Not Started,Randall,Credentialing,Nothing updates automatically. Do not start until Credentialing confirms in writing.,24-post-exam-checklist.md,,,,
44,5. September-October,2026-12-01,"Sit down with him at 30, 60 and 90 days",Not Started,Randall,Dr. Heyl,Is he seeing the patients he wanted? A full schedule of the wrong patients is not a win.,25-baseline-snapshot.md,,,,
45,6. Raise with Joe,,Raise: the symptom layer is essentially empty (one page with traffic),Not Started,Randall,Joe,It is the 'I do not know what is wrong with me' front door the whole model was designed around.,26-semantic-model-mapping.md,,,,
46,6. Raise with Joe,,Raise: three current pain physicians have duplicate bio pages splitting their traffic,Not Started,Randall,Joe,"Small fix, three physicians who already rank. Separate from this launch but this is when we have the evidence.",08-url-lock.md,,,,
47,6. Raise with Joe,,Raise: a legacy Mendelson blog post outconverts every real pain page we own,Not Started,Randall,Joe,39 appointment actions a quarter vs 4 on the real service page. There are probably others. Do not let anyone tidy it away.,15-legacy-post-refresh.md,,,,
48,6. Raise with Joe,,DO NOT TOUCH: the Boston Scientific patient-database concept,Blocked,Compliance,Compliance ruling,Patient-database outreach is a HIPAA question before it is a marketing question. Goes to Compliance and stays there.,README.md,,,,
