Idea ID,Idea (human-executable),Category,Evidence - what works / has worked,Impact,Effort,Cost,Quadrant,Owner,Linked Task,Status
I-18,Provider-to-provider lunch-and-learns with spine surgeons,Physician Liaison,Standard high-yield PL tactic; warm ortho relationships convert to spine,Medium,Medium,$$,,Kristen,PL-B.2,Not Started
I-19,Referrer one-pager leave-behind (deep bench + how to refer),Physician Liaison,PL best practice; makes referring frictionless,Medium,Low,$,,Randall,PL-D.1,Not Started
I-20,Direct-pay + financing path for non-covered spine candidates,Access/Revenue,Harmony Direct Pay exists; recovers otherwise-lost non-covered patients,Medium,Medium,$$,,Greg,SP-A.9,Not Started
I-21,"Weekly OODA scorecard review (2-3 problems/wk, measure, stack)",Operating,This is leadership's own proven method behind the ortho turnaround,High,Low,$,,Joe,SP-B.2,Not Started
I-22,FAQ + schema on spine pages for AI-Overview citations,SEO/AIO,AI answers on 40%+ healthcare SERPs; SHP has zero FAQ schema,Medium,Medium,$,,Randall,B2C-A.5,Not Started
I-23,"Community events (Blue Water Festival tent, chambers) + screening booth",Community,Local presence builds trust; Haley/Mary already running events,Medium,Medium,$$,,Haley,,Not Started
I-24,Provider-spotlight campaigns featuring spine surgeons,Content,Physician authority already indexed; humanizes the bench,Medium,Medium,$,,Haley,,Not Started
I-25,Fix CWV / mobile performance regression,Technical,0 Good URLs since ~May 1; 70%+ of healthcare search is mobile,Medium,Medium,$,,Cardinal,B2C-B.4,Not Started
I-26,Hospital-system / medical-association link building,Authority/PR,0 such links since 2012; strong competitors have 400+ referring domains,Medium,High,$,,Randall,,Not Started
I-27,AI call-center for after-hours + source detection,Call Center,Phone-driven; 6-8 hrs/wk manual call-listening today,Medium,High,$$,,Kelly,CC-C,Not Started
I-28,GLP-1 / ancillary email cadence (Dr. Abood),Email/Ancillary,Ancillary grew +22%; existing content to repurpose,Low,Low,$,,Randall,,Not Started
I-29,Ship the CLS template fix (203 images width/height; slider DOM),Technical,PSI 7/22: LCP FIXED (1.36-1.57s) but CLS 0.11-0.12 is the only CWV blocker; May-Jul failing period cost ~half of organic,High,Low,$,,Paul,B2C-B.4,Assigned 7/22 (Paul memo)
I-30,Cloudflare: unblock AI retrieval bots + WAF skip llms.txt/robots.txt + Apr 25-May 3 audit log,Technical/AIO,Verified 7/22: managed robots.txt blocks GPTBot/ClaudeBot/Google-Extended; llms.txt challenged; log may reveal May 1 trigger,High,Low,$,,Paul,B2C-B.4,Assigned 7/22 (Paul memo)
I-31,Repair Liine->Google Ads conversion signal (incl. Zocdoc leg; compliance blocker),Tracking,CEO-named root cause of spine B2C decline (Jul 21 1:1); CPA $200->$2000 history; blocks all bidding; stabilize by Aug 15,High,Medium,$,,Santosh,,In Progress (Joe aligning Santosh+Paul since 7/16)
I-32,Fix B2B dashboard (June showed 237 vs actual 284) + NextGen<->MMC crosswalk,Data,Jul 14: dashboard error drove two weeks of wrong leadership reads; prove-it culture needs trusted numbers pre-Sept 30,High,Low,$,,Joe,,Not Started
I-33,Consolidate spine Google Ads campaigns for conversion-signal density,Paid,Jul 7: spine campaigns underperform partly from too little conversion data per campaign; do AFTER I-31,Medium,Low,$,,Blue Ox (via Joe),,Not Started
I-34,Call-center abandonment SLA 23%->=<6% with callback queue,Call Center,Jun 1 transcript: 23% abandonment vs 5-6% target - 'he loses half of his new patients' on bad Mondays,High,Low,$,,Kelly,CC-A,Not Started
