ID,Level,Parent ID,Workstream (Category),Task / Subtask,Needle-Mover,Owner (Responsible),Authorizer,Est. Hours,Priority,Start,Due,Depends On,KPI / Definition of Done,Status,% Done,Actual Hours,Health,Last Update,Notes
HEYL-B.2,Subtask,HEYL-B,Physician Launch,Draft bio (PM&R + Pain fellowship differentiation; Grade 6-8; conditions; first visit; locations; booking),Yes,Randall,Heyl,6,P1,2026-08-11,2026-08-18,HEYL-A.1;HEYL-A.3,Draft to Dr. Heyl in his preferred review format,Not Started,0,0,,,Blocked on his personal 'why pain medicine' story
HEYL-B.3,Subtask,HEYL-B,Physician Launch,Title + meta spec (name + identity + locations; no new duplicate titles),Yes,Randall,Joe,2,P1,2026-08-14,2026-08-18,HEYL-B.1,Unique title/meta; no sitewide duplicate,Not Started,0,0,,,5 duplicate titles still open sitewide - do not add a 6th
HEYL-B.4,Subtask,HEYL-B,Physician Launch,Physician schema spec - hand-written not template-inherited; correct sameAs; availableService = cleared list only,Yes,Randall,Paul,5,P1,2026-08-18,2026-08-25,HEYL-A.5;HEYL-B.1,Rich Results Test passes with 0 errors on his URL,Not Started,0,0,,,446 sitewide markup errors incl Physician schema on all 42 bios; never sameAs the legacy @mendelsonortho YouTube
HEYL-B.5,Subtask,HEYL-B,Physician Launch,Internal linking plan (pain hub / spine hub / 2 location pages / EMG / cleared procedure pages / providers index),No,Randall,Joe,3,P2,2026-08-21,2026-08-28,HEYL-B.2,8+ contextual internal links live,Not Started,0,0,,,
HEYL-B.6,Subtask,HEYL-B,Physician Launch,First-visit expectation block (evaluation first - no procedure promised in advance),Yes,Randall,Heyl,2,P2,2026-08-18,2026-08-25,HEYL-B.2,Block live; mirrored in call-center script,Not Started,0,0,,,Conversion asset AND pre-qualification tool
HEYL-C,Task,HEYL,Physician Launch,Directory & profile estate (greenfield - he owns/manages nothing today),Yes,Randall,Joe,,P1,2026-08-07,2026-09-15,HEYL-A.3,Consistent profile estate live across 8+ properties,Not Started,,,,,
HEYL-C.1,Subtask,HEYL-C,Physician Launch,Pre-audit existing listings (Google/Healthgrades/Vitals/WebMD/Doximity/Zocdoc/RateMDs/U-M/ResearchGate),Yes,Randall,Joe,4,P1,2026-08-07,2026-08-12,,Written audit of every existing listing + claim status,Not Started,0,0,,,Claim beats create; auto-generated stubs are the source of duplicate listings
HEYL-C.2,Subtask,HEYL-C,Physician Launch,GBP practitioner listings - Livonia + Sterling Heights,Yes,Randall,Joe,5,P1,2026-08-18,2026-09-01,HEYL-C.1;HEYL-A.5,Both listings live/verified/category-correct,Not Started,0,0,,,Do in GBP UI - API access still pending approval (tracker section 7). GBP drives 1681 local-pack keywords today
HEYL-C.3,Subtask,HEYL-C,Physician Launch,Build/claim core directory set (Healthgrades/Vitals/WebMD/Doximity/Zocdoc/NPI),Yes,Randall,Joe,8,P1,2026-08-18,2026-09-01,HEYL-C.1;HEYL-A.3,6 profiles live and consistent,Not Started,0,0,,,Identical NAP + credential string; board-eligible language everywhere
HEYL-C.4,Subtask,HEYL-C,Physician Launch,Doximity profile + connection strategy for U-M / Ann Arbor network,Yes,Randall,Kristen,3,P2,2026-09-01,2026-09-08,HEYL-C.3,Profile complete; connection list shared with liaison team,Not Started,0,0,,,His referral strategy runs through this network
HEYL-C.5,Subtask,HEYL-C,Physician Launch,U-M profile + ResearchGate/publication pages - determine ownership and editability,No,Randall,Joe,3,P2,2026-09-01,2026-09-15,HEYL-C.1,Ownership determined; corrections requested,Not Started,0,0,,,U-M profile will rank for his name for years
HEYL-C.6,Subtask,HEYL-C,Physician Launch,Legacy-brand sweep - zero Mendelson/Kornblum references in his new estate,Yes,Randall,Joe,2,P1,2026-08-25,2026-09-01,HEYL-C.3,Zero legacy references,Not Started,0,0,,,Zamorano MD still links to a legacy mendelsonortho Zocdoc profile - do not repeat
HEYL-C.7,Subtask,HEYL-C,Physician Launch,Troy - stage assets pending Ops confirmation (do not build yet),No,Randall,Operations,2,P3,2026-09-01,2026-10-01,HEYL-A.5,Decision tracked; assets pre-drafted,Not Started,0,0,,,Troy = ~4800 obtainable patients/yr and zero paid coverage; becomes P1 on confirmation
HEYL-D,Task,HEYL,Physician Launch,Map Heyl into the semantic model (conditions + treatments),Yes,Randall,Joe,,P1,2026-07-30,2026-09-29,,Heyl named on all live treatment + condition pages; 2 gap pages built,Not Started,,,,,Service line is deprecated - 12 of 13 procedures already have ranking pages carrying 44264 impr/90d. See assets/heyl-launch/26 + 27
HEYL-D.1,Subtask,HEYL-D,Physician Launch,Confirm provider-to-treatment link exists in the CMS (3 questions to Paul),Yes,Randall,Paul,2,P1,2026-07-30,2026-08-05,,Written answer on relationship field + condition-to-treatment links + redirects,Not Started,0,0,,,GATES the whole September plan. If the relationship field does not exist it is the one thing worth building - makes every future physician launch trivial
HEYL-D.2,Subtask,HEYL-D,Physician Launch,Send Paul the 12-URL redirect map (dead /specialties/pain-management/ -> live /treatment/),Yes,Randall,Paul,4,P1,2026-08-07,2026-08-14,HEYL-D.1,12 redirects deployed; no ranking loss after 4 weeks,Not Started,0,0,,,Map in 27-heyl-treatment-map.csv. Lumbar medial branch block still ranks 6.0 - redirect carefully and monitor
HEYL-D.3,Subtask,HEYL-D,Physician Launch,Name Heyl as performing provider on 12 existing /treatment/ pages,Yes,Randall,Operations,8,P1,2026-08-25,2026-09-01,HEYL-D.1;HEYL-A.5,Heyl live on all 12 cleared treatment pages,Not Started,0,0,,,THE LAUNCH. Data task not writing task. Those 12 pages already carry 44264 impressions/90d
HEYL-D.4,Subtask,HEYL-D,Physician Launch,Name Heyl on the condition pages he treats (14 live pages),Yes,Randall,Clinical,6,P1,2026-08-25,2026-09-01,HEYL-D.1,Heyl live on all mapped condition pages,Not Started,0,0,,,Condition pages already link to treatments - this is what makes him findable by what hurts
HEYL-D.5,Subtask,HEYL-D,Physician Launch,Reframe /treatment/pain-management/ as a pathway router (not a service line),Yes,Randall,Joe,8,P1,2026-08-18,2026-08-28,,Page live as a router; 9856 impressions held,Not Started,0,0,,,Keep the URL and the impressions; drop the department framing and the physician roster. 'pain management doctor near me' is a real 2400/mo query
HEYL-D.6,Subtask,HEYL-D,Physician Launch,BUILD genicular nerve block treatment page (gap),Yes,Randall,Clinical,8,P1,2026-09-01,2026-09-15,HEYL-A.5,Page live + MD-reviewed,Not Started,0,0,,,5400/mo at KD 19 and no page exists anywhere on the site. His priority #4
HEYL-D.7,Subtask,HEYL-D,Physician Launch,BUILD peripheral nerve stimulation treatment page (gap),Yes,Randall,Clinical,8,P1,2026-09-01,2026-09-15,HEYL-A.5,Page live + MD-reviewed,Not Started,0,0,,,HIS PRIORITY #2 - the thing he came here to build. Include temporary 60-day system if Ops confirms
HEYL-D.8,Subtask,HEYL-D,Physician Launch,Neurogenic claudication: new symptom page + consolidate duplicate stenosis pages,Yes,Randall,Clinical,10,P1,2026-09-01,2026-09-22,HEYL-D.1,Symptom page live; lumbar-stenosis 301'd into spinal-stenosis,Not Started,0,0,,,14800/mo at KD 15. New /symptom/leg-pain-when-walking/ feeding existing /conditions/spinal-stenosis/ - NOT a third stenosis page. Seeds the empty symptom layer
HEYL-D.9,Subtask,HEYL-D,Physician Launch,Improve 3 live-but-weak treatment pages (RFA / occipital nerve block / EMG),No,Randall,Clinical,12,P2,2026-09-08,2026-09-29,HEYL-D.3,3 pages rewritten; positions tracked,Not Started,0,0,,,RFA ranks 27.6 against a demand family at 51-96; occipital ranks 19.4 on a 6600/mo term; EMG rewrite drafted in 12-emg-page.md
HEYL-D.10,Subtask,HEYL-D,Physician Launch,BUILD 3 missing condition pages (CRPS / occipital neuralgia / post-surgical pain),No,Randall,Clinical,12,P2,2026-09-15,2026-10-15,HEYL-D.4,3 pages live + MD-reviewed,Not Started,0,0,,,Conditions he treats with no page today
HEYL-D.11,Subtask,HEYL-D,Physician Launch,Refresh the legacy Mendelson chronic-pain post (do NOT delete),Yes,Randall,Joe,5,P1,2026-08-25,2026-09-08,,Refreshed; conversions held or improved 4 weeks post-change,Not Started,0,0,,,275 clicks / 139 sessions / 39 key events - 10x the real service page. Legacy-branded URL = quick win + rebrand liability. Decision is Joe's
HEYL-D.12,Subtask,HEYL-D,Physician Launch,Add him to Livonia + Sterling Heights location pages with actual clinic days,Yes,Randall,Operations,3,P2,2026-08-25,2026-09-01,HEYL-A.5,Live on both; days accurate,Not Started,0,0,,,'pain management doctor near me' = 2400/mo
HEYL-E,Task,HEYL,Physician Launch,Answer layer - AEO / AIO / GEO,Yes,Randall,Joe,,P1,2026-08-18,2026-10-01,HEYL-D,First FAQ rich results; entity consistent; generative baseline tracked,Not Started,,,,,Site has ZERO FAQ schema; AI crawlers verified unblocked 2026-07-27
HEYL-E.1,Subtask,HEYL-E,Physician Launch,FAQPage schema on bio + every D-cluster page,Yes,Randall,Paul,6,P1,2026-09-01,2026-09-08,HEYL-D.4,Valid FAQPage on 6+ pages; Semrush serp_faq_keywords > 0,Not Started,0,0,,,"0 FAQ rich results sitewide today - untouched surface with a live tripwire. Apply to the /treatment/ pages, not the deprecated /specialties/ ones"
HEYL-E.2,Subtask,HEYL-E,Physician Launch,Answer-block library from real PAA demand (EMG family + claudication family; 40-55 word direct answers),Yes,Randall,Clinical,8,P1,2026-08-25,2026-09-08,HEYL-D.4,20+ answer blocks live in snippet-eligible format,Not Started,0,0,,,'what is an emg test' 4400; 'how long does an emg test take' 720; 'does the emg test hurt' 260; 'what is neurogenic claudication' 1900
HEYL-E.3,Subtask,HEYL-E,Physician Launch,AIO positioning - named author/credentials/review date/plain language/sourced claims on every launch page,No,Randall,Clinical,5,P2,2026-09-01,2026-09-15,HEYL-D.2,E-E-A-T block on every launch page,Not Started,0,0,,,SHP appears on 2276 AIO keywords as exposure not citation. No unsubstantiated efficacy stats
HEYL-E.4,Subtask,HEYL-E,Physician Launch,GEO entity work - consistent entity across web + add him and his procedure pages to /llms.txt,No,Randall,Paul,5,P2,2026-09-08,2026-09-22,HEYL-C.3,llms.txt updated; entity consistent across 8+ properties,Not Started,0,0,,,llms.txt live and now readable by ClaudeBot/GPTBot (verified 2026-07-27) - door newly open
HEYL-E.5,Subtask,HEYL-E,Physician Launch,Baseline generative answers pre-launch (fixed prompt set across ChatGPT/Perplexity/Gemini/Copilot),Yes,Randall,Joe,3,P1,2026-08-21,2026-08-28,,Baseline logged; monthly re-run scheduled,Not Started,0,0,,,Must be PRE-launch or GEO work is unprovable
HEYL-E.6,Subtask,HEYL-E,Physician Launch,Voice-search / near-me tuning on location + booking blocks,No,Randall,Joe,3,P3,2026-09-22,2026-10-01,HEYL-D.7,Conversational Q&A blocks live,Not Started,0,0,,,
HEYL-F,Task,HEYL,Physician Launch,Content engine (his 8 named topics),Yes,Randall,Heyl,,P2,2026-08-25,2026-10-31,HEYL-A.2,Content cluster published and MD-reviewed,Not Started,,,,,He committed to website articles/FAQs + referring-provider meetings only
HEYL-F.1,Subtask,HEYL-F,Physician Launch,Article - 'When to see a spine surgeon vs a pain management physician',Yes,Randall,Clinical,6,P1,2026-08-25,2026-09-08,HEYL-A.2,Published + MD-reviewed + linked from spine and pain hubs,Not Started,0,0,,,Highest-value single article: his topic + the decision-support content the audits say is missing + a qualification tool
HEYL-F.2,Subtask,HEYL-F,Physician Launch,Article - 'What an EMG actually tells your doctor' (incl. does it hurt / how long),Yes,Randall,Clinical,5,P1,2026-09-01,2026-09-15,HEYL-E.2,Published + FAQ schema,Not Started,0,0,,,'emg test near me' 1900/KD 14 + 4400-volume PAA cluster
HEYL-F.3,Subtask,HEYL-F,Physician Launch,Article - 'Pain-limited weakness vs true neurogenic weakness',No,Randall,Clinical,5,P2,2026-09-08,2026-09-22,,Published + MD-reviewed,Not Started,0,0,,,Genuinely differentiated PM&R + Pain expertise; strong AI-citation candidate
HEYL-F.4,Subtask,HEYL-F,Physician Launch,Article - 'Red flags in back pain: when to seek care now',No,Randall,Clinical,5,P2,2026-09-15,2026-09-29,,Published + MD-reviewed,Not Started,0,0,,,High-value YMYL; careful clinical review required
HEYL-F.5,Subtask,HEYL-F,Physician Launch,Articles - radicular pain explained + arthritis/peripheral joint care,No,Randall,Clinical,8,P3,2026-09-29,2026-10-31,HEYL-D.4,Published,Not Started,0,0,,,
HEYL-F.6,Subtask,HEYL-F,Physician Launch,Patient-journey FAQ set from his scheduling rules (reused across bio + call center + schema),Yes,Randall,Heyl,4,P2,2026-09-01,2026-09-08,HEYL-B.6,12-15 Q&As live and reused across 3 channels,Not Started,0,0,,,
HEYL-F.7,Subtask,HEYL-F,Physician Launch,Offer (do not assume) one 60-90s 9:16 vertical video from the Aug 10 session,No,Randall,Heyl,2,P3,2026-07-30,2026-08-07,HEYL-A.7,Answer received either way,Not Started,0,0,,,He checked 'review individually'. Creative audit: 16:9 underperforms in-feed; straight-on provider shots work. If he declines - drop it
HEYL-G,Task,HEYL,Physician Launch,Referral & physician-liaison enablement (B2B),Yes,Randall,Kristen,,P1,2026-08-14,2026-10-01,HEYL-A.3,Liaison team equipped before Sept 1; target accounts loaded,Not Started,,,,,Pain is 33% B2B - 2nd most referral-dependent line
HEYL-G.1,Subtask,HEYL-G,Physician Launch,Referring-provider one-sheet (who he is / cleared procedures / how to refer / WHAT NOT TO SEND),Yes,Randall,Kristen,6,P1,2026-08-14,2026-08-25,HEYL-A.3;HEYL-A.5,Printed + digital in liaison hands before Sept 1,Not Started,0,0,,,Ties to existing PL-D.1. Naming exclusions (widespread pain / fibromyalgia / heavy opioid mgmt) is what makes the inclusions credible
HEYL-G.2,Subtask,HEYL-G,Physician Launch,Target-account list for his network (U-M/Ann Arbor PM&R + ortho spine + neurosurgery first),Yes,Randall,Kristen,6,P1,2026-08-18,2026-09-01,HEYL-A.1,List loaded into Map My Customer with owners + cadence,Not Started,0,0,,,Jasmine named in questionnaire to map Ann Arbor relationships. Blocked on individual names from Dr. Heyl
HEYL-G.3,Subtask,HEYL-G,Physician Launch,Neurology mini-campaign (migraine / occipital / facial nerve blocks),No,Randall,Kristen,4,P2,2026-09-15,2026-10-01,HEYL-G.1,Neurology target list + tailored one-sheet,Not Started,0,0,,,Occipital nerve block = 6600/mo at KD 27; a pathway most pain practices do not court
HEYL-G.4,Subtask,HEYL-G,Physician Launch,New-physician announcement to existing referral base (email + liaison leave-behind),Yes,Randall,Kristen,3,P1,2026-08-25,2026-09-01,HEYL-G.1,Sent to all active referring accounts,Not Started,0,0,,,Added capacity is the most useful thing you can tell a referring office
HEYL-G.5,Subtask,HEYL-G,Physician Launch,Internal referral enablement - when to route to Heyl vs surgeons vs existing pain team,Yes,Randall,Clinical,4,P1,2026-08-25,2026-09-01,HEYL-A.5,Internal routing sheet live and clinically reviewed,Not Started,0,0,,,Prevents internal cannibalization of Oddo/Lee/Kassa/Singh - redistributing existing volume is not growth
HEYL-G.6,Subtask,HEYL-G,Physician Launch,Confirm he is in the closed-loop referrer report-back flow from day one,No,Randall,Kristen,2,P2,2026-09-08,2026-09-15,,He is in the loop workflow,Not Started,0,0,,,Ties to PL-D.3
HEYL-H,Task,HEYL,Physician Launch,PR / community / guerilla,No,Randall,Joe,,P2,2026-08-25,2026-12-01,HEYL-A.2,Announcement placed; association links live,Not Started,,,,,0 links from MI hospital systems or medical associations since 2012
HEYL-H.1,Subtask,HEYL-H,Physician Launch,New-physician announcement release (local health media / Crain's / county outlets / U-M + Siena Heights alumni),No,Randall,Joe,5,P2,2026-08-25,2026-09-01,HEYL-A.2,Release distributed; 1+ pickup,Not Started,0,0,,,Board-eligible language. Real link value in a category where SHP has zero
HEYL-H.2,Subtask,HEYL-H,Physician Launch,Association member-directory profiles (IPSIS / NASS / AAPM&R),No,Randall,Joe,3,P2,2026-09-01,2026-09-15,HEYL-A.3,3 association listings live,Not Started,0,0,,,Durable authoritative links in SHP's weakest backlink category
HEYL-H.3,Subtask,HEYL-H,Physician Launch,Local-angle pitch - Marine City roots + Siena Heights collegiate baseball,No,Randall,Heyl,3,P3,2026-09-15,2026-10-31,HEYL-A.1,Pitched if permitted,Not Started,0,0,,,GATED on his written permission - do not use until in writing
HEYL-H.4,Subtask,HEYL-H,Physician Launch,Guerilla/community sports-medicine angle (running clubs / masters athletics / pickleball / HS athletic trainers),No,Randall,Joe,6,P3,2026-10-01,2026-11-30,HEYL-H.3,1-2 activations scoped,Not Started,0,0,,,Feeds the athlete-storytelling format the creative audit named as SHP's strongest content
HEYL-H.5,Subtask,HEYL-H,Physician Launch,Thought-leadership pipeline (PRP outcomes / cluneal neuralgia / electrodiagnostics / interventional safety),No,Randall,Heyl,4,P3,2026-10-01,2026-12-01,HEYL-A.6,Editorial calendar drafted,Not Started,0,0,,,Sequence AFTER launch and AFTER the board exam. Cited expertise is what generative engines surface
HEYL-I,Task,HEYL,Physician Launch,Access / conversion / paid coordination,Yes,Randall,Joe,,P1,2026-08-18,2026-09-08,HEYL-A.5,Booking path verified; tracking live; scripts in place before first appointment,Not Started,,,,,Demand you cannot book is wasted
HEYL-I.1,Subtask,HEYL-I,Physician Launch,Call-center scripting for Heyl (evaluate first; never promise injection/MRI/medication; route uncertain-fit cases),Yes,Randall,Kelly,4,P1,2026-08-18,2026-08-25,HEYL-B.6,Script live before first appointment,Not Started,0,0,,,From his own questionnaire answers. Difference between a full schedule and the RIGHT full schedule
HEYL-I.2,Subtask,HEYL-I,Physician Launch,Insurance pre-screen - confirm his credentialed payer list (Medicaid varies BY PROVIDER; flag auto no-fault PIP + WC),Yes,Randall,Greg,4,P1,2026-08-25,2026-09-01,HEYL-A.5,Payer list confirmed; screen step live,Not Started,0,0,,,Auto PIP/WC = no referral no copay high-value and highly relevant to focal spine/nerve injury
HEYL-I.3,Subtask,HEYL-I,Physician Launch,Booking-path verification end to end before driving any traffic,Yes,Randall,Paul,3,P1,2026-08-25,2026-09-01,,Path tested; booking confirmed in NextGen,Not Started,0,0,,,Website converts NPs at 74.7% at $0 vs Zocdoc Sponsored ~52% at ~$136/patient
HEYL-I.4,Subtask,HEYL-I,Physician Launch,Liine tracking for his line (Liine_NP_OB / Liine_NP_BC_or_BF firing and mapped),Yes,Randall,Santosh,3,P1,2026-08-25,2026-09-01,,Events verified in GA4,Not Started,0,0,,,Without this the launch is unmeasurable
HEYL-I.5,Subtask,HEYL-I,Physician Launch,Blue Ox paid brief - capacity-sized test only + explicit do-not-advertise list,No,Randall,Joe,4,P2,2026-09-01,2026-09-08,HEYL-A.5;HEYL-I.4,Brief delivered; guardrails acknowledged in writing,Not Started,0,0,,,'interventional pain management' CPC $5.11; 'pain management doctor near me' CPC $3.21. An ad for kyphoplasty or opioid mgmt under his name is a compliance incident
HEYL-I.6,Subtask,HEYL-I,Physician Launch,Enroll him in Rater8 review-velocity flow from week one,Yes,Randall,Joe,2,P1,2026-08-25,2026-09-01,,Enrolled; first reviews by Sept 30,Not Started,0,0,,,Compounds from day one; cannot be backfilled
HEYL-J,Task,HEYL,Physician Launch,Measurement & 90-day read,Yes,Randall,Joe,,P1,2026-08-21,2026-12-01,,Baseline captured pre-launch; dashboard live; 3 reviews held,Not Started,,,,,
HEYL-J.1,Subtask,HEYL-J,Physician Launch,Pre-launch baseline snapshot (GSC pain line / GA4 / pain NP volume / 17 target keywords / generative baseline),Yes,Randall,Joe,4,P1,2026-08-21,2026-08-28,HEYL-E.5,Baseline committed to repo,Not Started,0,0,,,MUST be before Sept 1 - cannot be reconstructed later
HEYL-J.2,Subtask,HEYL-J,Physician Launch,Heyl launch dashboard (bio + D-cluster + branded name searches + GBP actions + Liine bookings + referral mix),No,Randall,Santosh,5,P2,2026-09-01,2026-09-08,HEYL-J.1;HEYL-I.4,Dashboard live and reviewed weekly,Not Started,0,0,,,
HEYL-J.3,Subtask,HEYL-J,Physician Launch,Weekly read for first 8 weeks (volume vs capacity / source mix / keyword movement / booking conversion),No,Randall,Joe,8,P2,2026-09-01,2026-10-27,HEYL-J.2,Reported every Friday,Not Started,0,0,,,Fold into the existing Friday scorecard rhythm - do not create a parallel process
HEYL-J.4,Subtask,HEYL-J,Physician Launch,30/60/90-day reviews with Dr. Heyl against HIS definition of success,Yes,Randall,Heyl,6,P1,2026-10-01,2026-12-01,HEYL-A.1;HEYL-J.2,Three reviews held; plan adjusted,Not Started,0,0,,,Marketing that fills a schedule with the wrong patients has failed however good the numbers look
HEYL-J.5,Subtask,HEYL-J,Physician Launch,Update Cardinal tracker with sitewide findings this launch surfaced,No,Randall,Joe,3,P3,2026-09-22,2026-10-01,HEYL-E.1,Tracker updated with new evidence,Not Started,0,0,,,Providers-section duplicate-URL finding; pain-line URL architecture; first FAQPage schema; first clean physician schema
