MMC Company ID,Account / Practice,Assigned PL,Tier,Wave,Practice Type,Referral Evidence Band,2026 Spine Patients,2026 Total B2B Patients,Known Referring Providers (2026 referral match),Linked People (MMC),Payer Class (heuristic),Payer Detail,Payer Basis / Status,Payer Line for PL,Visit Message
83b9dec3-57ee-4777-b000-fcb1c228e6c7,Hesselberg Chiropractic,Kristen,Tier 1,Wave 1,Chiropractor,Repeat Spine Referrer,23,23,"Jason Joseph Hesselberg, DC (22 spine) · Jason Dc Hesselberg (1 spine)",3,COMM-WCPI,Chiro — commercial + WC/PI mix (QUALIFIED); screen auto/WC liens,Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial + auto/WC liens welcome; screen Medicaid share.,"Thank you for trusting us with the care of your patients (Dr. Hesselberg's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; co-management for patients who plateau — imaging access, interventional options, surgical consults when warranted, and every patient returns to your care plan with notes. ASK: anything pending right now we can get seen this week?"
8bd62ae0-e836-472d-84f6-a85688fd5524,Michigan Auto Law,Kristen,Tier 1,Wave 1,Attorney / Legal,Repeat Spine Referrer,10,15,Mi Auto Law (9 spine) · Michigan Auto Law (1 spine) · Kevin Seiferheld (1 ortho),13,WC-AUTO,"WC / Auto No-Fault — commercial-equivalent, no referral needed (QUALIFIED)",Rule (payer taxonomy) — confirm case mix on visit — intake (Kelly) verifies Tier 1 first; NOT confirmed,"Payer: auto no-fault + WC accepted, no referral, no copay.","Thank you for trusting us with the care of your patients (Mi Auto Law's team especially). OPEN: service check — are records, scheduling and communication meeting your standard? MESSAGE: auto no-fault and workers' comp spine evaluations with fast scheduling, thorough documentation and clean records turnaround — service only, evaluated on clinical merit. ASK: keep us as the spine evaluation resource for auto/WC clients; leave the direct scheduling line + records turnaround commitment."
c9013f02-25d6-4df2-96f8-b4f1e9936878,Stonebrooke Family Physicians,Kristen,Tier 1,Wave 1,PCP,Repeat Spine Referrer,5,17,"Ronald Bellisario, MD (2 spine) · Jennifer Haener, DO (1 spine) · Matthew T Ewald, MD (1 spine) · Elizabeth Ryman, PA (1 spine) · Katherine Becker Mitzner, DO (1 ortho) · Stacey Kastl, MD",10,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Bellisario's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
86e7413a-57df-4cba-adee-c6d0a8e55b63,Ross Law,Kristen,Tier 1,Wave 1,Attorney / Legal,Repeat Spine Referrer,5,7,Ross Law (5 spine),1,WC-AUTO,"WC / Auto No-Fault — commercial-equivalent, no referral needed (QUALIFIED)",Rule (payer taxonomy) — confirm case mix on visit — intake (Kelly) verifies Tier 1 first; NOT confirmed,"Payer: auto no-fault + WC accepted, no referral, no copay.","Thank you for trusting us with the care of your patients (Ross Law's team especially). OPEN: service check — are records, scheduling and communication meeting your standard? MESSAGE: auto no-fault and workers' comp spine evaluations with fast scheduling, thorough documentation and clean records turnaround — service only, evaluated on clinical merit. ASK: keep us as the spine evaluation resource for auto/WC clients; leave the direct scheduling line + records turnaround commitment."
89b27066-bd8f-45eb-b2ec-e3196a89a16c,Applebaum & Stone,Kristen,Tier 1,Wave 1,Attorney / Legal,Repeat Spine Referrer,5,7,Applebaum and Stone (5 spine),2,WC-AUTO,"WC / Auto No-Fault — commercial-equivalent, no referral needed (QUALIFIED)",Rule (payer taxonomy) — confirm case mix on visit — intake (Kelly) verifies Tier 1 first; NOT confirmed,"Payer: auto no-fault + WC accepted, no referral, no copay.","Thank you for trusting us with the care of your patients (Applebaum and Stone's team especially). OPEN: service check — are records, scheduling and communication meeting your standard? MESSAGE: auto no-fault and workers' comp spine evaluations with fast scheduling, thorough documentation and clean records turnaround — service only, evaluated on clinical merit. ASK: keep us as the spine evaluation resource for auto/WC clients; leave the direct scheduling line + records turnaround commitment."
5ffbe2ff-83ec-4e24-8d4f-4071334a9c5c,Vanstone Injury Law,Kristen,Tier 1,Wave 1,Attorney / Legal,Repeat Spine Referrer,5,5,Vanstone Law (3 spine) · Vanstone (2 spine),4,WC-AUTO,"WC / Auto No-Fault — commercial-equivalent, no referral needed (QUALIFIED)",Rule (payer taxonomy) — confirm case mix on visit — intake (Kelly) verifies Tier 1 first; NOT confirmed,"Payer: auto no-fault + WC accepted, no referral, no copay.","Thank you for trusting us with the care of your patients (Vanstone Law's team especially). OPEN: service check — are records, scheduling and communication meeting your standard? MESSAGE: auto no-fault and workers' comp spine evaluations with fast scheduling, thorough documentation and clean records turnaround — service only, evaluated on clinical merit. ASK: keep us as the spine evaluation resource for auto/WC clients; leave the direct scheduling line + records turnaround commitment."
568c9052-985c-48fa-b5bc-44baafba3dea,DMC Orthopedics - Commerce Township,Kristen,Tier 1,Wave 1,Orthopedic,Repeat Spine Referrer,3,3,"Mark Mackey, MD (1 spine)",5,MIXED-SYSTEM,Hospital-system site — mixed commercial + Medicare + some Medicaid; qualified with intake screening,Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: mixed panel — screen at intake; HMO plans need PCP referral (we assist).,"Thank you for trusting us with the care of your patients (Dr. Mackey's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; for the spine cases outside your scope, we co-manage: your patient stays yours, our spine team handles just the spine problem, notes back to you every visit. ASK: anything pending right now we can get seen this week?"
31597599-5a74-4f7a-8cb0-0ebbb4b41303,Hermann Banks MD PC,Kristen,Tier 1,Wave 1,Neurology,Repeat Spine Referrer,3,3,"Hermann Darwin Banks (2 spine) · Hermann Banks, MD (1 spine)",1,COMM-LIKELY,Private specialty practice — commercial/Medicare-likely (QUALIFIED); confirm,Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Hermann Darwin Banks's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; shared patients with radiculopathy or stenosis get imaging and interventional/surgical evaluation same-week, with your notes closed-loop. ASK: anything pending right now we can get seen this week?"
74262c96-dd4b-4b92-acd7-c43ebba4c04f,NORLIVO INTERNAL MEDICINE,Jasmine,Tier 1,Wave 1,Orthopedic,Repeat Spine Referrer,3,10,"Amadeo R Sturla, MD (2 spine) · Amadeo Sturla, MD (1 spine)",2,COMM-LIKELY,Private specialty practice — commercial/Medicare-likely (QUALIFIED); confirm,Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Sturla's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; for the spine cases outside your scope, we co-manage: your patient stays yours, our spine team handles just the spine problem, notes back to you every visit. ASK: anything pending right now we can get seen this week?"
5cb01f9c-faec-4c04-b600-f0eba085f6a3,Synergy Medical Primary Care,Jasmine,Tier 1,Wave 1,PCP,Repeat Spine Referrer,4,19,"Hetal Gandhi, MD (3 spine) · Katie Simkow, NP (1 spine) · Miranda Sattam, PA-C (1 ortho)",3,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Gandhi's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
063204da-544e-4bdd-a18b-f483a5c16ad9,North Valley Internal Medicine,Coty,Tier 1,Wave 1,PCP,Repeat Spine Referrer,3,3,"Brandon Genson, DO (2 spine) · Ryan Johnston, PA-C (1 spine)",8,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Genson's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
1225209075,Office of George Nassif MD,Coty,Tier 1,Wave 1,PCP,Repeat Spine Referrer,4,4,"George Helmy Nassif, MD (4 spine)",2,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Nassif's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
e19f7675-d86b-445b-ad8d-c06409bfde92,Levine Clinic of Chiropractic,Kristen,Tier 1,Wave 1,Chiropractor,Repeat Spine Referrer,3,5,"Richard Levine, DC (3 spine)",3,COMM-WCPI,Chiro — commercial + WC/PI mix (QUALIFIED); screen auto/WC liens,Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial + auto/WC liens welcome; screen Medicaid share.,"Thank you for trusting us with the care of your patients (Dr. Levine's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; co-management for patients who plateau — imaging access, interventional options, surgical consults when warranted, and every patient returns to your care plan with notes. ASK: anything pending right now we can get seen this week?"
3acfe2ff-d550-4785-99aa-a1ea91ef7da4,CANTON FAMILY HEALTH LLC,Jasmine,Tier 1,Wave 1,PCP,Repeat Spine Referrer,4,6,"Samih Mike Ajami, DO (4 spine) · Shadia Yeihey, MD (1 ortho)",2,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Ajami's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
03095e36-e586-4709-8cd8-440a98b9bcd7,Beaumont Medical Center - Redford,Kristen,Tier 1,Wave 1,PCP,Repeat Spine Referrer,3,23,"Liza Weathersby, MD (2 spine) · Britani Alyce Marshall, MD (1 spine) · Britani Marshall, MD (1 ortho)",4,MIXED-SYSTEM,Hospital-system site — mixed commercial + Medicare + some Medicaid; qualified with intake screening,Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: mixed panel — screen at intake; HMO plans need PCP referral (we assist).,"Thank you for trusting us with the care of your patients (Dr. Weathersby's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
be4c4280-49d5-443c-b413-3471ee753d27,GARDEN CITY FAMILY PHYSICIANS,Kristen,Tier 1,Wave 1,PCP,Repeat Spine Referrer,3,6,"Angelica Francu, MD (3 spine)",2,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Francu's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
b70053c3-f0fd-41de-9386-95fcc448a738,Lifetime Family Care,Kristen,Tier 1,Wave 1,PCP,Repeat Spine Referrer,3,3,"Erica Balysh, DO (1 spine) · Colin David Orrin, DO (1 spine) · Erica N Balysh, DO (1 spine)",6,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Balysh's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
20e3535a-e9f3-4760-9cd8-6e86789495da,QuickDoc Urgent Care,Jasmine,Tier 1,Wave 1,Urgent Care,Repeat Spine Referrer,4,4,"Mohamad Rahbar, MD (4 spine)",2,MIXED-WALKIN,Walk-in panel — mixed payers; qualified with intake screening,Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: walk-in mix — intake screens each referral; commercial/Medicare flow same-week.,"Thank you for trusting us with the care of your patients (Dr. Rahbar's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; an acute back/neck pathway: your discharge sheet can book a spine evaluation the same week — one number, we take it from there. ASK: anything pending right now we can get seen this week?"
0cc06713-910b-4b74-ba14-7cd3d76b3c62,OAK STREET HEALTH CHERRY HILL,Jasmine,Tier 1,Wave 1,PCP,Repeat Spine Referrer,3,21,"Peter Vasquez, MD (1 spine) · Nadine Larcher, NP (1 spine) · Oakstreet Health - Cherry Hill (1 spine) · Gaybriel Morrell, MD (4 ortho)",7,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Vasquez's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
1174554364,Be Well Medical Center,Coty,Tier 1,Wave 1,PCP,Repeat Spine Referrer,3,17,"Mark Rosen, PA-C (1 spine) · Mark Bornstein, DO (1 spine) · Caleb Youngblood Pa C (1 spine) · Paul A Benson, DO (3 ortho) · Rosen PA-C, Mark (ZOC DOC) (1 ortho)",8,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Mark Rosen's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
dda630a5-9d61-49cd-bec6-61084e47ddb9,Pulmonary & Medical Associates,Kristen,Tier 1,Wave 1,PCP,Repeat Spine Referrer,2,8,"Shanna Pearson, DO (2 spine)",11,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Pearson's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
e3d707da-675d-4d7c-9356-2f53ec4d8a2e,Village Medical - Livonia,Kristen,Tier 1,Wave 1,PCP,Repeat Spine Referrer,2,6,"Martin Erickson, DO (1 spine) · Village Medical Livonia (1 spine) · Sherri Rosenfeld, DO (2 ortho) · Paul Jackson, DO (1 ortho) · Joann Van Oast, PA (1 ortho)",10,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Dr. Erickson's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
13842362-6701-47f3-95cc-140ea17bd264,Premier Medicine Medical Center - Livonia,Jasmine,Tier 1,Wave 1,Urgent Care,Repeat Spine Referrer,2,7,"Nabil Suliman, MD (1 spine) · Monica Fukala, NP (1 spine) · Somnath Chowdhury, MD (1 ortho)",11,MIXED-WALKIN,Walk-in panel — mixed payers; qualified with intake screening,Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: walk-in mix — intake screens each referral; commercial/Medicare flow same-week.,"Thank you for trusting us with the care of your patients (Dr. Suliman's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; an acute back/neck pathway: your discharge sheet can book a spine evaluation the same week — one number, we take it from there. ASK: anything pending right now we can get seen this week?"
677326d2-4ba2-4a49-a6f1-e7633a9a8401,Faith Internal Medicine & Urgent Care,Coty,Tier 1,Wave 1,PCP,Repeat Spine Referrer,2,10,"Laith J Jacob Mbchb (2 spine) · Laith Jacob, MD (1 ortho)",2,COMM-LIKELY,PCP — commercial/Medicare-likely; confirm HMO share (BCN/HAP/McLaren/Priority HMO need PCP referral — we handle that),Heuristic — verify — intake (Kelly) verifies Tier 1 first; NOT confirmed,Payer: commercial/Medicare-likely — HMO referrals handled with your staff.,"Thank you for trusting us with the care of your patients (Laith J Jacob Mbchb's referrals especially). OPEN: what could we do better — access, notes back, anything? MESSAGE: same-week access still holds for your patients; your patients with back or neck pain get seen the same week — imaging, conservative care, interventional and surgical under one roof, and we handle HMO referral paperwork with your staff. ASK: anything pending right now we can get seen this week?"
