Type,Heyl item (from questionnaire),Live URL,Status,Impressions 90d,Position,Action,Notes
Condition,Shoulder arthritis,/conditions/shoulder-arthritis/,Treats,1288,21.1,Add Heyl for injection,
Condition,Complex regional pain syndrome,NONE,Treats,0,,BUILD NEW PAGE,GAP - 480/mo at difficulty 30. His priority #1 area
Condition,Focal headache / occipital neuralgia,NONE,Treats,0,,BUILD NEW PAGE,GAP - pairs with the occipital nerve block page and the neurology referral push
Condition,Post-surgical / persistent post-operative pain,NONE,Treats,0,,BUILD NEW PAGE,GAP - no page exists
Condition,Fibromyalgia,,NEVER,,,Never associate,Explicitly outside his practice
Condition,Widespread / centralized pain,,NEVER,,,Never associate,Explicitly outside his practice
Condition,Cancer-related pain,,NEVER,,,Never associate,Not part of his practice
Symptom,Leg pain when walking,NONE,Entry point,0,,BUILD NEW PAGE,Routes to /conditions/spinal-stenosis/. Captures the 14800/mo neurogenic claudication demand
Symptom,Numbness and tingling,NONE,Entry point,0,,BUILD NEW PAGE,Routes to nerve conditions and EMG
Symptom,Nerve pain,NONE,Entry point,0,,BUILD NEW PAGE,His priority #1 in patient language
Symptom,Back pain,NONE,Entry point,0,,Consider,Highest-volume symptom entry - scope with Cardinal not just this launch
Symptom,Neck pain,NONE,Entry point,0,,Consider,
Redirect,Old specialty URL,/specialties/pain-management/emg/,Deprecated,132,7.9,301 to /treatment/emg/,
Redirect,Old specialty URL,/specialties/pain-management/peripheral-nerve-injection/,Deprecated,1,,301 to /treatment/peripheral-nerve-injection/,
Redirect,Old specialty URL,/specialties/pain-management/trigger-point-injection/,Deprecated,2,,301 to /treatment/trigger-point-injection/,
Redirect,Old specialty URL,/specialties/pain-management/lumbar-rfa-radiofrequency-ablation/,Deprecated,1,,301 to /treatment/radiofrequency-ablation/,
Redirect,Old specialty URL,/specialties/pain-management/lumbar-medial-branch-block/,Deprecated,525,6.0,301 to /treatment/medial-branch-blocks-cervical-lumbar/,Still ranks 6.0 - redirect carefully and monitor
Redirect,Old specialty URL,/specialties/pain-management/cervical-medial-branch-block/,Deprecated,144,6.7,301 to /treatment/medial-branch-blocks-cervical-lumbar/,
Redirect,Old specialty URL,/specialties/pain-management/spinal-cord-stimulator/,Deprecated,29,3.7,301 to /treatment/spinal-cord-stimulator/,
Redirect,Old specialty URL,/specialties/pain-management/caudal-epidural-steroid-injection-caudal-esi/,Deprecated,1,,301 to /treatment/caudal-esi/,
Redirect,Old specialty URL,/specialties/pain-management/cervical-epidural-steroid-injection/,Deprecated,2,,301 to /treatment/injections-esi-facet-nerve-blocks/,
Redirect,Old specialty URL,/specialties/pain-management/joint-pain-injections/,Deprecated,137,35.7,301 to /treatment/joint-pain-injections/,
Redirect,Old specialty URL,/specialties/pain-management/kyphoplasty/,Deprecated,169,14.2,301 to /treatment/kyphoplasty-vertebroplasty/,Never link Heyl to either URL
Redirect,Old specialty URL,/specialties/pain-management/ketamine-infusion/,Deprecated,159,16.0,Decide with Clinical,No /treatment/ equivalent found - confirm the service is still offered
Reframe,Deprecated service line,/treatment/pain-management/,Deprecated,9856,18.2,Reframe as non-surgical pain pathway router,Keep the URL and the 9856 impressions - stop being a department listing
